siren,etablissements,effectifmin,categorieentreprise,denominationunitelegale,denominationusuelle1unitelegale
229400288,6,5383,GE,DEPARTEMENT DU VAL DE MARNE,NA
231300021,1,5000,GE,REGION PROVENCE-ALPES-COTE D'AZUR,NA
237500079,3,6200,GE,REGION ILE DE FRANCE,NA
246700488,2,5200,GE,EUROMETROPOLE DE STRASBOURG,NA
260600705,3,5500,GE,CENTRE HOSPITALIER REGIONAL,NA
261300081,7,12117,GE,CENTRE HOSPITALIER REGIONAL DE MARSEILLE,NA
261400931,2,5001,GE,CENTRE HOSPITALIER UNIVERSITAIRE DE CAEN NORMANDIE,NA
262100076,5,5307,GE,CENTRE HOSPITALIER UNIVERSITAIRE DE DIJON,NA
262501760,6,5593,GE,CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE,NA
263000036,5,5950,GE,CENTRE HOSPITALIER UNIVERSITAIRE,NA
263100125,9,10701,GE,CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE,NA
263305823,7,10013,GE,CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX,NA
263400160,9,9082,GE,CENTRE HOSPITALIER UNIVERSITAIRE DE MONTPELLIER,NA
263500076,6,6900,GE,CTRE HOSPITALIER UNIVERS PONTCHAILLOU,NA
263700189,7,5248,GE,CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE TOURS,NA
263800302,4,5750,GE,CENTRE HOSPITALIER UNIVERSITAIRE GRENOBLE ALPES,NA
264400136,5,8301,GE,CHU NANTES,NA
264900036,5,5380,GE,CENTRE HOSPITALIER UNIVERSITAIRE D'ANGERS,NA
265906719,12,12115,GE,CENTRE HOSPITALIER UNIVERSITAIRE DE LILLE,NA
266307461,9,5009,GE,CENTRE HOSPITALIER UNIVERSITAIRE,NA
266700574,9,8410,GE,LES HOPITAUX UNIVERSITAIRES DE STRASBOURG,NA
266900273,8,13520,GE,HOSPICES CIVILS DE LYON,NA
267500049,10,5434,GE,CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,NA
267500452,9,60206,GE,ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,NA
267601680,8,7336,GE,CENTRE HOSPITALIER UNIVERSITAIRE ROUEN,NA
268000148,6,6309,GE,CENTRE HOSPITALIER UNIVERSITAIRE,NA
303409593,8,11821,GE,ELIOR SERVICES PROPRETE ET SANTE,NA
304497852,9,8735,GE,SECURITAS FRANCE SARL,NA
312212301,9,5240,GE,RENAULT RETAIL GROUP,NA
315549352,7,6429,GE,ADREXO,PROSPECTUS MAILING ADRESSE BAL GEOMARKET
326820065,9,7980,GE,SOPRA STERIA GROUP,NA
331648014,5,5384,GE,MEDIAPOST,NA
341174118,6,5639,GE,MEDICA FRANCE,NA
343262622,8,21834,GE,LIDL,SNC LIDL
348607417,5,5353,GE,ALTEN,ALTEN
351745724,3,6200,GE,MEUBLES IKEA FRANCE,IKEA
352383715,2,5250,GE,AIRBUS HELICOPTERS,NA
356000000,12,145682,NA,NA,NA
380129866,12,66880,GE,ORANGE,NA
383474814,4,5550,GE,AIRBUS,NA
384560942,9,15293,GE,LEROY MERLIN FRANCE,NA
389191982,5,6250,GE,ALSTOM TRANSPORT SA,NA
397471822,1,10000,GE,EURO DISNEY ASSOCIES SAS,DISNEYLAND PARIS
399315613,7,6703,GE,METRO FRANCE,METRO ON LINE-MAKRO ON LINE METRO....
401251566,6,7506,GE,ORPEA,NA
410034607,9,5027,GE,SUEZ EAU FRANCE,NA
410409015,7,8288,GE,AUCHAN SUPERMARCHE,ATAC
410409460,9,41931,GE,AUCHAN HYPERMARCHE,NA
412280737,11,42831,GE,SNCF RESEAU,NA
413901760,7,5475,GE,ELIOR ENTREPRISES,NA
414815217,8,10120,GE,SAFRAN AIRCRAFT ENGINES,NA
414819409,8,5864,GE,CONFORAMA FRANCE,NA
420495178,13,30126,GE,SOCIETE AIR FRANCE,SKYTEAM
420916918,3,14020,GE,AIRBUS OPERATIONS,NA
428240287,6,5103,GE,CARREFOUR SUPPLY CHAIN,NA
428268023,10,19574,GE,DISTRIBUTION CASINO FRANCE,NA
428685358,7,6743,GE,SAMSIC II,SAMSIC PROPRETE
428764500,6,5770,GE,AREVA NP,NA
428822852,9,5932,GE,ETABLISSEMENT FRANCAIS DU SANG,NA
432766947,10,6178,GE,FRANCE TELEVISIONS,FRANCE TELEVISIONS
440283752,6,18590,GE,CSF,NA
441133808,6,6260,GE,NAVAL GROUP,NA
444608442,10,29579,GE,ENEDIS,NA
444619258,10,6963,GE,RTE RESEAU DE TRANSPORT D ELECTRICITE,NA
444718563,4,5450,GE,ARCELORMITTAL ATLANTIQUE ET LORRAINE,NA
444786511,9,5739,GE,GRDF,NA
451321335,8,44457,GE,CARREFOUR HYPERMARCHES,NA
451647903,5,5756,GE,BRICO DEPOT,NA
451678973,8,10163,GE,CASTORAMA FRANCE,NA
456500537,9,6707,GE,DALKIA,NA
479766842,9,7013,GE,CAPGEMINI TECHNOLOGY SERVICES,NA
500569405,8,10268,GE,DECATHLON FRANCE,NA
514080837,8,6008,GE,ITM LOGISTIQUE ALIMENTAIRE INTERNATIONAL,NA
542016951,9,10464,GE,ISS PROPRETE,NA
542065479,10,40516,GE,PSA AUTOMOBILES SA,NA
552046955,8,7001,GE,ENGIE ENERGIE SERVICES,NA
552049447,11,66987,GE,SNCF MOBILITES,NA
552081317,12,54569,GE,ELECTRICITE DE FRANCE,NA
552083297,7,11284,GE,MONOPRIX EXPLOIT PAR ABREVIATION MPX,NA
552118465,9,5037,GE,CIE IBM FRANCE,NA
552120222,13,30253,GE,SOCIETE GENERALE,SOCIETE GENERALE
572025526,9,5391,GE,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX,NA
572104891,12,8289,GE,BANQUE DE FRANCE,NA
632012100,10,5747,GE,L'OREAL,NA
632041042,9,8616,GE,COMPASS GROUP FRANCE,SCOLAREST MEDIREST EUREST
662025196,9,7187,GE,ELRES,NA
662042449,11,30910,GE,BNP PARIBAS,NA
662043116,9,5672,NA,OFFICE NATIONAL DES FORETS,NA
702012956,10,6453,GE,ALTRAN TECHNOLOGIES,NA
702021114,7,8632,GE,DERICHEBOURG PROPRETE,NA
702042755,6,6170,GE,CGI FRANCE,NA
712042456,5,5350,GE,DASSAULT AVIATION,NA
722057460,11,8728,GE,AXA FRANCE IARD,NA
775663438,11,34608,GE,REGIE AUTONOME DES TRANSPORTS PARISIENS,NA
775670284,10,5732,GE,HSBC FRANCE,HSBC
775672272,10,12269,GE,CROIX ROUGE FRANCAISE,NA
775685019,9,14856,GE,COMMISSARIAT A L' ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,CEA
775688732,8,10683,GE,APF FRANCE HANDICAP,NA
775709702,9,6177,GE,MUTUELLE ASSURANCE INSTITUTEUR FRANCE,NA
775726417,9,5347,GE,KPMG,KPMG SA
780129987,8,18760,GE,RENAULT SAS,NA
781452511,10,7040,GE,MACIF,NA
786920306,9,14441,GE,CORA,CORA
801947052,10,5911,GE,GIE AG2R REUNICA,NA
808332670,10,8167,GE,SNCF,NA
855200507,10,21003,GE,MANUF FRANC PNEUMATIQ MICHELIN,NA
954506077,6,5323,GE,RENAULT TRUCKS,"RENAULT TRUCKS, RENAULT V.I., TRUCKONE, VOLVO GROUP TRUCKS SALES & MAR"
954509741,10,14262,GE,CREDIT LYONNAIS,LCL - LE CREDIT LYONNAIS
